wall_time,step,value
1776823123.110485,1871872,0.0
1776823128.7988381,1880064,0.0
1776823136.5323005,1892352,0.0
1776823142.26578,1900544,0.0
1776823150.2516804,1912832,0.0
1776823155.9340026,1921024,0.0
1776823163.6347237,1933312,0.0
1776823169.3240895,1941504,0.0
1776823177.052053,1953792,0.0
1776823182.7892945,1961984,0.0
1776823188.5129097,1970176,0.0
1776823196.3591146,1982464,0.0
1776823202.0677767,1990656,0.0
1776823209.7746758,2002944,0.0
1776823215.4182804,2011136,0.0
1776823223.128481,2023424,0.0
1776823228.829382,2031616,0.0
1776823236.516191,2043904,0.0
1776823242.228064,2052096,0.0
1776823247.8734775,2060288,0.0
1776823255.572293,2072576,0.0
1776823261.2660575,2080768,0.0
1776823268.9211812,2093056,0.0
1776823274.61607,2101248,0.0
1776823282.2964616,2113536,0.0
1776823287.967197,2121728,0.0
1776823295.575954,2134016,0.0
1776823301.2489486,2142208,0.0
1776823306.90653,2150400,0.0
1776823314.5717406,2162688,0.0
1776823320.2678845,2170880,0.0
1776823327.9542034,2183168,0.0
1776823333.8551774,2191360,0.0
1776823342.291575,2203648,0.0
1776823348.4060001,2211840,0.0
1776823354.0881724,2220032,0.0
1776823361.847743,2232320,0.0
1776823367.5842366,2240512,0.0
1776823375.3936381,2252800,0.0
1776823381.1001556,2260992,0.0
1776823388.7880096,2273280,0.0
1776823394.529729,2281472,0.0
1776823402.3598166,2293760,0.0
1776823408.2591941,2301952,0.0
1776823414.1772845,2310144,0.0
1776823422.437557,2322432,0.0
1776823428.1598535,2330624,0.0
1776823436.0178661,2342912,0.0
1776823442.0754335,2351104,0.0
1776823449.831254,2363392,0.0
1776823455.7143116,2371584,0.0
1776823463.461656,2383872,0.0
1776823469.1798215,2392064,0.0
1776823475.067533,2400256,0.0
1776823482.767167,2412544,0.0
1776823488.47688,2420736,0.0
1776823496.229523,2433024,0.0
1776823501.9139957,2441216,0.0
1776823509.58579,2453504,0.0
1776823515.273716,2461696,0.0
1776823523.324961,2473984,0.0
1776823529.2950025,2482176,0.0
1776823535.0398455,2490368,0.0
1776823542.959214,2502656,0.0
1776823548.9317605,2510848,0.0
1776823557.138962,2523136,0.0
1776823563.1838517,2531328,0.0
1776823570.9889088,2543616,0.0
1776823576.6679435,2551808,0.0
1776823582.7512856,2560000,0.0
1776823590.5007925,2572288,0.0
1776823596.1851575,2580480,0.0
1776823604.000702,2592768,0.0
1776823609.715157,2600960,0.0
1776823617.4076114,2613248,0.0
1776823623.1235876,2621440,0.0
1776823630.9915009,2633728,0.0
1776823636.7262306,2641920,0.0
1776823642.531748,2650112,0.0
1776823650.4656706,2662400,0.0
1776823656.2756886,2670592,0.0
1776823664.0629888,2682880,0.0
1776823669.895788,2691072,0.0
1776823677.824109,2703360,0.0
1776823683.7761335,2711552,0.0
1776823691.6346827,2723840,0.0
1776823697.3783245,2732032,0.0
1776823703.101628,2740224,0.0
1776823710.826455,2752512,0.0
1776823716.5258293,2760704,0.0
1776823724.3971434,2772992,0.0
1776823730.283558,2781184,0.0
1776823738.108938,2793472,0.0
1776823744.096353,2801664,0.0
1776823751.9452343,2813952,0.0
1776823757.9815166,2822144,0.0
1776823763.8111155,2830336,0.0
1776823771.7141664,2842624,0.0
1776823777.5276136,2850816,0.0
1776823785.1982827,2863104,0.0
1776823791.040485,2871296,0.0
1776823798.788463,2883584,0.0
